Município,Classificação,Funcionarios
Serrania,Comércio e Serviços,5
Serrania,Agência e Operadores,0
Serranos,Comércio e Serviços,0
Serranos,Transportes,0
Serranos,Hospedagem,0
Serranos,Alimentação,0
Serranos,Entretenimento,1
Serranos,Agência e Operadores,0
Silvianópolis,Comércio e Serviços,6
Silvianópolis,Transportes,0
Silvianópolis,Hospedagem,0
Silvianópolis,Alimentação,52
Silvianópolis,Entretenimento,3
Silvianópolis,Agência e Operadores,0
Soledade de Minas,Comércio e Serviços,2
Soledade de Minas,Transportes,0
Soledade de Minas,Alimentação,63
Soledade de Minas,Entretenimento,0
Soledade de Minas,Agência e Operadores,0
Soledade de Minas,Hospedagem,49
Tocos do Moji,Comércio e Serviços,3
Tocos do Moji,Transportes,0
Tocos do Moji,Hospedagem,0
Tocos do Moji,Alimentação,3
Tocos do Moji,Entretenimento,1
Tocos do Moji,Agência e Operadores,0
Toledo,Hospedagem,0
Toledo,Comércio e Serviços,11
Toledo,Transportes,0
Toledo,Alimentação,1
Toledo,Entretenimento,4
Toledo,Agência e Operadores,0
Três Pontas,Entretenimento,102
Três Pontas,Transportes,34
Três Pontas,Comércio e Serviços,229
Três Pontas,Agência e Operadores,7
Três Pontas,Hospedagem,66
Três Pontas,Alimentação,387
Três Corações,Transportes,195
Três Corações,Comércio e Serviços,346
Três Corações,Entretenimento,94
Três Corações,Alimentação,902
Três Corações,Hospedagem,58
Três Corações,Agência e Operadores,10
Turvolândia,Comércio e Serviços,4
Turvolândia,Transportes,6
Turvolândia,Hospedagem,0
Turvolândia,Alimentação,3
Turvolândia,Entretenimento,5
Turvolândia,Agência e Operadores,0
Varginha,Transportes,371
Varginha,Comércio e Serviços,619
Varginha,Entretenimento,1002
Varginha,Hospedagem,232
Varginha,Agência e Operadores,11
Varginha,Alimentação,1638
Virgínia,Transportes,0
Virgínia,Hospedagem,579
Virgínia,Alimentação,5
Virgínia,Entretenimento,5
Virgínia,Comércio e Serviços,52
Virgínia,Agência e Operadores,0
Wenceslau Braz,Comércio e Serviços,0
Wenceslau Braz,Transportes,2
Wenceslau Braz,Hospedagem,0
Wenceslau Braz,Alimentação,2
Wenceslau Braz,Entretenimento,0
Wenceslau Braz,Agência e Operadores,0
