Município,Classificação,Funcionarios
Campestre,Agência e Operadores,0
Campestre,Alimentação,61
Cambuí,Transportes,160
Cambuí,Hospedagem,48
Cambuí,Comércio e Serviços,61
Cambuí,Agência e Operadores,1
Cambuí,Entretenimento,30
Cambuí,Alimentação,276
Campanha,Entretenimento,10
Campanha,Transportes,2
Campanha,Comércio e Serviços,36
Campanha,Agência e Operadores,0
Campanha,Hospedagem,11
Campanha,Alimentação,106
Cambuquira,Transportes,9
Cambuquira,Alimentação,45
Cambuquira,Entretenimento,4
Cambuquira,Comércio e Serviços,21
Cambuquira,Agência e Operadores,1
Cambuquira,Hospedagem,15
Campo do Meio,Transportes,22
Campo do Meio,Hospedagem,0
Campo do Meio,Alimentação,5
Campo do Meio,Entretenimento,80
Campo do Meio,Comércio e Serviços,66
Campo do Meio,Agência e Operadores,0
Campos Gerais,Transportes,29
Campos Gerais,Entretenimento,27
Campos Gerais,Comércio e Serviços,45
Campos Gerais,Agência e Operadores,1
Campos Gerais,Hospedagem,12
Campos Gerais,Alimentação,71
Capetinga,Entretenimento,3
Capetinga,Transportes,2
Capetinga,Hospedagem,0
Capetinga,Alimentação,9
Capetinga,Comércio e Serviços,1
Capetinga,Agência e Operadores,0
Capitólio,Comércio e Serviços,52
Capitólio,Transportes,7
Capitólio,Entretenimento,188
Capitólio,Alimentação,222
Capitólio,Agência e Operadores,60
Capitólio,Hospedagem,380
Careaçu,Transportes,0
Careaçu,Comércio e Serviços,0
Careaçu,Hospedagem,20
Careaçu,Entretenimento,15
Careaçu,Agência e Operadores,0
Careaçu,Alimentação,27
Carmo da Cachoeira,Comércio e Serviços,12
Carmo da Cachoeira,Transportes,1
Carmo da Cachoeira,Hospedagem,6
Carmo da Cachoeira,Alimentação,35
Carmo da Cachoeira,Entretenimento,22
Carmo da Cachoeira,Agência e Operadores,0
Carmo de Minas,Transportes,2
Carmo de Minas,Comércio e Serviços,15
Carmo de Minas,Entretenimento,18
Carmo de Minas,Agência e Operadores,0
Carmo de Minas,Hospedagem,34
Carmo de Minas,Alimentação,30
Carmo do Rio Claro,Transportes,7
Carmo do Rio Claro,Entretenimento,15
Carmo do Rio Claro,Comércio e Serviços,70
Carmo do Rio Claro,Agência e Operadores,5
Carmo do Rio Claro,Alimentação,105
Carmo do Rio Claro,Hospedagem,36
Carvalhos,Entretenimento,2
Carvalhos,Comércio e Serviços,1
Carvalhos,Transportes,0
Carvalhos,Alimentação,5
Carvalhos,Agência e Operadores,0
Carvalhos,Hospedagem,3
Carvalhópolis,Comércio e Serviços,2
Carvalhópolis,Transportes,0
Carvalhópolis,Hospedagem,0
Carvalhópolis,Alimentação,0
Carvalhópolis,Entretenimento,0
Carvalhópolis,Agência e Operadores,0
Cássia,Transportes,4
Cássia,Hospedagem,10
Cássia,Comércio e Serviços,15
Cássia,Alimentação,38
Cássia,Entretenimento,43
Cássia,Agência e Operadores,0
Caxambu,Transportes,51
Caxambu,Comércio e Serviços,84
Caxambu,Entretenimento,28
Caxambu,Agência e Operadores,16
Caxambu,Hospedagem,234
Caxambu,Alimentação,236
Conceição das Pedras,Comércio e Serviços,0
Conceição das Pedras,Transportes,0
Conceição das Pedras,Hospedagem,0
Conceição das Pedras,Alimentação,0
Conceição das Pedras,Entretenimento,1
Conceição das Pedras,Agência e Operadores,0
Conceição da Aparecida,Agência e Operadores,0
Conceição da Aparecida,Transportes,0
Conceição da Aparecida,Hospedagem,5
Conceição da Aparecida,Alimentação,0
Conceição da Aparecida,Entretenimento,44
Conceição da Aparecida,Comércio e Serviços,14
Claraval,Comércio e Serviços,13
Claraval,Transportes,0
Claraval,Hospedagem,0
Claraval,Alimentação,3
Claraval,Entretenimento,1
Claraval,Agência e Operadores,0
Conceição do Rio Verde,Transportes,2
Conceição do Rio Verde,Entretenimento,7
Conceição do Rio Verde,Comércio e Serviços,20
Conceição do Rio Verde,Agência e Operadores,0
Conceição do Rio Verde,Hospedagem,3
Conceição do Rio Verde,Alimentação,56
Congonhal,Transportes,0
Congonhal,Entretenimento,5
Congonhal,Comércio e Serviços,13
Congonhal,Agência e Operadores,0
Congonhal,Alimentação,33
Congonhal,Hospedagem,2
Conceição dos Ouros,Transportes,1
Conceição dos Ouros,Hospedagem,0
Conceição dos Ouros,Alimentação,24
Conceição dos Ouros,Entretenimento,4
Conceição dos Ouros,Comércio e Serviços,16
Conceição dos Ouros,Agência e Operadores,0
Consolação,Comércio e Serviços,0
Consolação,Transportes,0
Consolação,Alimentação,0
