Município,Classificação,Estabelecimentos
Campanha,Entretenimento,38
Campanha,Hospedagem,6
Campanha,Transportes,28
Campestre,Agência e Operadores,5
Campestre,Alimentação,139
Campestre,Comércio e Serviços,51
Campestre,Entretenimento,36
Campestre,Hospedagem,2
Campestre,Transportes,22
Campo do Meio,Agência e Operadores,3
Campo do Meio,Alimentação,76
Campo do Meio,Comércio e Serviços,506
Campo do Meio,Entretenimento,24
Campo do Meio,Hospedagem,1
Campo do Meio,Transportes,18
Campos Gerais,Agência e Operadores,5
Campos Gerais,Alimentação,166
Campos Gerais,Comércio e Serviços,88
Campos Gerais,Entretenimento,57
Campos Gerais,Hospedagem,8
Campos Gerais,Transportes,54
Capetinga,Alimentação,33
Capetinga,Comércio e Serviços,22
Capetinga,Entretenimento,7
Capetinga,Hospedagem,1
Capetinga,Transportes,4
Capitólio,Agência e Operadores,85
Capitólio,Alimentação,165
Capitólio,Comércio e Serviços,52
Capitólio,Entretenimento,54
Capitólio,Hospedagem,148
Capitólio,Transportes,114
Careaçu,Agência e Operadores,2
Careaçu,Alimentação,58
Careaçu,Comércio e Serviços,17
Careaçu,Entretenimento,16
Careaçu,Hospedagem,4
Careaçu,Transportes,14
Carmo da Cachoeira,Agência e Operadores,3
Carmo da Cachoeira,Alimentação,89
Carmo da Cachoeira,Comércio e Serviços,34
Carmo da Cachoeira,Entretenimento,27
Carmo da Cachoeira,Hospedagem,3
Carmo da Cachoeira,Transportes,11
Carmo de Minas,Agência e Operadores,2
Carmo de Minas,Alimentação,123
Carmo de Minas,Comércio e Serviços,24
Carmo de Minas,Entretenimento,24
Carmo de Minas,Hospedagem,8
Carmo de Minas,Transportes,32
Carmo do Rio Claro,Agência e Operadores,11
Carmo do Rio Claro,Alimentação,169
Carmo do Rio Claro,Comércio e Serviços,81
Carmo do Rio Claro,Entretenimento,53
Carmo do Rio Claro,Hospedagem,20
Carmo do Rio Claro,Transportes,32
Carvalhópolis,Alimentação,20
Carvalhópolis,Comércio e Serviços,8
Carvalhópolis,Entretenimento,6
Carvalhópolis,Hospedagem,1
Carvalhópolis,Transportes,2
Carvalhos,Alimentação,28
Carvalhos,Comércio e Serviços,8
Carvalhos,Entretenimento,11
Carvalhos,Hospedagem,8
Carvalhos,Transportes,7
Cássia,Agência e Operadores,4
Cássia,Alimentação,157
Cássia,Comércio e Serviços,61
Cássia,Entretenimento,34
Cássia,Hospedagem,9
Cássia,Transportes,40
Caxambu,Agência e Operadores,23
Caxambu,Alimentação,257
Caxambu,Comércio e Serviços,131
Caxambu,Entretenimento,105
Caxambu,Hospedagem,23
Caxambu,Transportes,77
Claraval,Agência e Operadores,1
Claraval,Alimentação,19
Claraval,Comércio e Serviços,26
Claraval,Entretenimento,4
Claraval,Hospedagem,1
Claraval,Transportes,3
Conceição da Aparecida,Agência e Operadores,1
Conceição da Aparecida,Alimentação,80
Conceição da Aparecida,Comércio e Serviços,18
Conceição da Aparecida,Entretenimento,20
Conceição da Aparecida,Hospedagem,3
Conceição da Aparecida,Transportes,5
Conceição das Pedras,Alimentação,16
Conceição das Pedras,Comércio e Serviços,4
Conceição das Pedras,Entretenimento,3
Conceição das Pedras,Transportes,3
Conceição do Rio Verde,Agência e Operadores,2
Conceição do Rio Verde,Alimentação,129
Conceição do Rio Verde,Comércio e Serviços,32
Conceição do Rio Verde,Entretenimento,31
Conceição do Rio Verde,Hospedagem,8
Conceição do Rio Verde,Transportes,20
Conceição dos Ouros,Agência e Operadores,3
Conceição dos Ouros,Alimentação,120
Conceição dos Ouros,Comércio e Serviços,21
Conceição dos Ouros,Entretenimento,20
Conceição dos Ouros,Hospedagem,2
Conceição dos Ouros,Transportes,11
Congonhal,Agência e Operadores,6
Congonhal,Alimentação,125
Congonhal,Comércio e Serviços,41
Congonhal,Entretenimento,24
Congonhal,Hospedagem,8
Congonhal,Transportes,16
Consolação,Agência e Operadores,1
Consolação,Alimentação,11
Consolação,Comércio e Serviços,2
Consolação,Entretenimento,4
Consolação,Hospedagem,7
Consolação,Transportes,1
Coqueiral,Alimentação,67
Coqueiral,Comércio e Serviços,21
Coqueiral,Entretenimento,14
Coqueiral,Hospedagem,3
Coqueiral,Transportes,7
Cordislândia,Agência e Operadores,1
Cordislândia,Alimentação,26
Cordislândia,Comércio e Serviços,3
Cordislândia,Entretenimento,4
Cordislândia,Hospedagem,1
Cordislândia,Transportes,3
Córrego do Bom Jesus,Agência e Operadores,5
Córrego do Bom Jesus,Alimentação,53
Córrego do Bom Jesus,Comércio e Serviços,11
Córrego do Bom Jesus,Entretenimento,10
Córrego do Bom Jesus,Hospedagem,25
Córrego do Bom Jesus,Transportes,5
Cristina,Agência e Operadores,5
Cristina,Alimentação,82
Cristina,Comércio e Serviços,22
Cristina,Entretenimento,20
Cristina,Hospedagem,6
Cristina,Transportes,23
Cruzília,Agência e Operadores,3
Cruzília,Alimentação,178
Cruzília,Comércio e Serviços,43
Cruzília,Entretenimento,38
Cruzília,Hospedagem,6
Cruzília,Transportes,31
Delfim Moreira,Agência e Operadores,6
Delfim Moreira,Alimentação,84
Delfim Moreira,Comércio e Serviços,27
Delfim Moreira,Entretenimento,9
Delfim Moreira,Hospedagem,18
Delfim Moreira,Transportes,4
Delfinópolis,Agência e Operadores,15
Delfinópolis,Alimentação,106
Delfinópolis,Comércio e Serviços,17
Delfinópolis,Entretenimento,9
Delfinópolis,Hospedagem,64
Delfinópolis,Transportes,8
Divisa Nova,Agência e Operadores,1
Divisa Nova,Alimentação,40
Divisa Nova,Comércio e Serviços,12
Divisa Nova,Entretenimento,12
Divisa Nova,Transportes,14
Dom Viçoso,Agência e Operadores,2
Dom Viçoso,Alimentação,34
Dom Viçoso,Comércio e Serviços,3
Dom Viçoso,Entretenimento,9
Dom Viçoso,Transportes,7
Elói Mendes,Agência e Operadores,2
Elói Mendes,Alimentação,210
Elói Mendes,Comércio e Serviços,70
Elói Mendes,Entretenimento,55
Elói Mendes,Hospedagem,6
Elói Mendes,Transportes,59
Espírito Santo do Dourado,Agência e Operadores,3
Espírito Santo do Dourado,Alimentação,54
Espírito Santo do Dourado,Comércio e Serviços,12
Espírito Santo do Dourado,Entretenimento,5
Espírito Santo do Dourado,Hospedagem,1
Espírito Santo do Dourado,Transportes,4
Estiva,Agência e Operadores,1
Estiva,Alimentação,131
Estiva,Comércio e Serviços,30
Estiva,Entretenimento,21
Estiva,Hospedagem,20
Estiva,Transportes,13
Extrema,Agência e Operadores,24
Extrema,Alimentação,685
Extrema,Comércio e Serviços,320
Extrema,Entretenimento,186
Extrema,Hospedagem,66
Extrema,Transportes,405
Fama,Agência e Operadores,1
Fama,Alimentação,37
Fama,Comércio e Serviços,7
Fama,Entretenimento,9
Fama,Hospedagem,4
Fama,Transportes,7
Fortaleza de Minas,Alimentação,28
Fortaleza de Minas,Comércio e Serviços,10
Fortaleza de Minas,Entretenimento,10
Fortaleza de Minas,Hospedagem,1
Fortaleza de Minas,Transportes,4
Gonçalves,Agência e Operadores,11
Gonçalves,Alimentação,128
Gonçalves,Comércio e Serviços,22
Gonçalves,Entretenimento,21
Gonçalves,Hospedagem,96
Gonçalves,Transportes,10
Guapé,Agência e Operadores,5
Guapé,Alimentação,110
Guapé,Comércio e Serviços,34
Guapé,Entretenimento,36
Guapé,Hospedagem,25
Guapé,Transportes,23
Guaranésia,Agência e Operadores,6
Guaranésia,Alimentação,143
Guaranésia,Comércio e Serviços,59
Guaranésia,Entretenimento,41
Guaranésia,Hospedagem,7
Guaranésia,Transportes,36
Guaxupé,Agência e Operadores,15
Guaxupé,Alimentação,535
Guaxupé,Comércio e Serviços,238
Guaxupé,Entretenimento,173
Guaxupé,Hospedagem,21
Guaxupé,Transportes,367
Heliodora,Agência e Operadores,2
Heliodora,Alimentação,63
Heliodora,Comércio e Serviços,17
Heliodora,Entretenimento,7
Heliodora,Hospedagem,2
Heliodora,Transportes,6
Ibiraci,Alimentação,79
Ibiraci,Comércio e Serviços,34
Ibiraci,Entretenimento,15
Ibiraci,Hospedagem,4
Ibiraci,Transportes,9
Ibitiúra de Minas,Alimentação,28
Ibitiúra de Minas,Comércio e Serviços,8
Ibitiúra de Minas,Entretenimento,6
Ibitiúra de Minas,Hospedagem,2
Ibitiúra de Minas,Transportes,2
Ilicínea,Agência e Operadores,1
Ilicínea,Alimentação,87
Ilicínea,Comércio e Serviços,28
Ilicínea,Entretenimento,25
Ilicínea,Hospedagem,5
Ilicínea,Transportes,36
Inconfidentes,Agência e Operadores,2
Inconfidentes,Alimentação,81
Inconfidentes,Comércio e Serviços,25
Inconfidentes,Entretenimento,26
Inconfidentes,Hospedagem,20
Inconfidentes,Transportes,10
Ipuiúna,Agência e Operadores,1
Ipuiúna,Alimentação,73
Ipuiúna,Comércio e Serviços,19
Ipuiúna,Entretenimento,17
Ipuiúna,Hospedagem,3
Ipuiúna,Transportes,13
Itajubá,Agência e Operadores,36
Itajubá,Alimentação,1073
Itajubá,Comércio e Serviços,351
Itajubá,Entretenimento,325
Itajubá,Hospedagem,34
Itajubá,Transportes,683
Itamogi,Agência e Operadores,3
Itamogi,Alimentação,76
Itamogi,Comércio e Serviços,21
Itamogi,Entretenimento,23
Itamogi,Hospedagem,3
Itamogi,Transportes,7
Itamonte,Agência e Operadores,12
Itamonte,Alimentação,171
Itamonte,Comércio e Serviços,46
Itamonte,Entretenimento,47
Itamonte,Hospedagem,26
Itamonte,Transportes,50
Itanhandu,Agência e Operadores,12
Itanhandu,Alimentação,170
Itanhandu,Comércio e Serviços,54
Itanhandu,Entretenimento,50
Itanhandu,Hospedagem,15
Itanhandu,Transportes,28
Itapeva,Agência e Operadores,7
Itapeva,Alimentação,154
Itapeva,Comércio e Serviços,58
Itapeva,Entretenimento,31
Itapeva,Hospedagem,18
Itapeva,Transportes,50
Itaú de Minas,Agência e Operadores,8
Itaú de Minas,Alimentação,89
Itaú de Minas,Comércio e Serviços,51
Itaú de Minas,Entretenimento,56
Itaú de Minas,Hospedagem,4
Itaú de Minas,Transportes,23
Jacuí,Alimentação,42
Jacuí,Comércio e Serviços,12
Jacuí,Entretenimento,21
Jacuí,Hospedagem,2
Jacuí,Transportes,11
Jacutinga,Agência e Operadores,8
Jacutinga,Alimentação,267
Jacutinga,Comércio e Serviços,94
Jacutinga,Entretenimento,70
Jacutinga,Hospedagem,14
Jacutinga,Transportes,112
Jesuânia,Alimentação,50
Jesuânia,Comércio e Serviços,13
Jesuânia,Entretenimento,12
Jesuânia,Hospedagem,2
Jesuânia,Transportes,10
Juruaia,Alimentação,103
Juruaia,Comércio e Serviços,34
Juruaia,Entretenimento,18
Juruaia,Hospedagem,7
Juruaia,Transportes,8
Lambari,Agência e Operadores,12
Lambari,Alimentação,199
Lambari,Comércio e Serviços,97
Lambari,Entretenimento,60
Lambari,Hospedagem,20
Lambari,Transportes,53
Liberdade,Agência e Operadores,1
Liberdade,Alimentação,59
Liberdade,Comércio e Serviços,15
Liberdade,Entretenimento,9
Liberdade,Hospedagem,5
Liberdade,Transportes,4
Machado,Agência e Operadores,10
Machado,Alimentação,331
Machado,Comércio e Serviços,138
Machado,Entretenimento,142
Machado,Hospedagem,11
Machado,Transportes,96
Maria da Fé,Agência e Operadores,10
Maria da Fé,Alimentação,107
Maria da Fé,Comércio e Serviços,44
Maria da Fé,Entretenimento,27
Maria da Fé,Hospedagem,12
Maria da Fé,Transportes,12
Marmelópolis,Agência e Operadores,2
Marmelópolis,Alimentação,27
Marmelópolis,Comércio e Serviços,5
Marmelópolis,Entretenimento,4
Marmelópolis,Hospedagem,10
Marmelópolis,Transportes,2
Minduri,Alimentação,45
Minduri,Comércio e Serviços,4
Minduri,Entretenimento,9
Minduri,Hospedagem,1
Minduri,Transportes,10
Monsenhor Paulo,Agência e Operadores,2
Monsenhor Paulo,Alimentação,61
Monsenhor Paulo,Comércio e Serviços,30
Monsenhor Paulo,Entretenimento,13
Monsenhor Paulo,Hospedagem,1
Monsenhor Paulo,Transportes,7
Monte Belo,Agência e Operadores,4
Monte Belo,Alimentação,85
Monte Belo,Comércio e Serviços,16
Monte Belo,Entretenimento,23
Monte Belo,Hospedagem,4
Monte Belo,Transportes,18
Monte Santo de Minas,Agência e Operadores,3
